chr	start	end	bin	01_CN	01_CT	02_CN	02_CT	02_LN	02_LT	03_CN	03_CT	03_LT	03_NT	04_CN	04_CT	04_LT	05_CN	05_CT	05_LT	06_CT	07_CT	10_CN	10_CT	14_CN	14_CT	14_LT
1	22990001	23030000	577	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1
1	23570001	23610000	592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	24010001	24050000	603	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	24340001	24380000	611	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1
1	25097501	25137500	630	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	25620001	25660000	643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	26390001	26430000	663	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0
1	26820001	26860000	673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	27250001	27290000	684	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	27650001	27690000	694	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1
1	28260001	28300000	709	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	28640001	28680000	719	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0
1	29160001	29200000	731	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1
1	29600001	29640000	742	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	31345001	31385000	787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	32020001	32060000	803	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1
1	32635001	32675000	819	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
1	33000001	33040000	828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	33390001	33430000	837	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0
1	33700001	33740000	845	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1
1	34050001	34090000	854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	35300001	35340000	885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	35840001	35880000	899	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1
1	36580001	36620000	917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	36980001	37020000	927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	38000001	38040000	953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	38467501	38507500	964	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1
1	39480001	39520000	990	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	40100001	40140000	1005	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1
1	40445001	40485000	1014	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
1	41080001	41120000	1030	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
1	41600001	41640000	1043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	42015001	42055000	1053	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1
1	42695001	42735000	1070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	43250001	43290000	1084	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1
1	43560001	43600000	1091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	44110001	44150000	1105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	44670001	44710000	1119	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	45120001	45160000	1131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	46125001	46165000	1156	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1
1	46940001	46980000	1176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	47220001	47260000	1183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0
1	47710001	47750000	1196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	48400001	48440000	1213	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	48720001	48760000	1221	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1
1	49245001	49285000	1234	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	51080001	51120000	1280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	51770001	51810000	1297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	52480001	52520000	1315	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	52860001	52900000	1324	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0
1	53290001	53330000	1335	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
1	53820001	53860000	1348	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	54260001	54300000	1359	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	55770001	55810000	1397	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	57300001	57340000	1435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	57780001	57820000	1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	58935001	58975000	1476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	60410001	60450000	1513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	61435001	61475000	1539	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1
1	62775001	62815000	1572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	63080001	63120000	1579	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	63370001	63410000	1587	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	64020001	64060000	1603	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	64780001	64820000	1622	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	65140001	65180000	1631	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1
1	65510001	65550000	1641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
1	66225001	66265000	1658	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
1	66700001	66740000	1670	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
1	67260001	67300000	1684	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	67660001	67700000	1694	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1
1	67990001	68030000	1702	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0
1	68460001	68500000	1714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	68910001	68950000	1726	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
1	70475001	70515000	1765	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	71090001	71130000	1780	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	71620001	71660000	1793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	72050001	72090000	1804	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0
1	72650001	72690000	1819	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0
1	73120001	73160000	1831	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
1	73780001	73820000	1847	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1
1	74290001	74330000	1860	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
1	74590001	74630000	1867	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
1	75300001	75340000	1885	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1
1	75650001	75690000	1894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	76180001	76220000	1907	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0
1	76490001	76530000	1915	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1
1	77700001	77740000	1945	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	78060001	78100000	1954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	78660001	78700000	1969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	79250001	79290000	1984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	79785001	79825000	1997	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1
1	80670001	80710000	2019	0	1	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1
1	80990001	81030000	2027	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0
1	81320001	81360000	2036	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
1	81725001	81765000	2046	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1
1	82435001	82475000	2063	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0
1	83055001	83095000	2079	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1
1	84370001	84410000	2112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	84880001	84920000	2124	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	85730001	85770000	2146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	86370001	86410000	2162	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0
1	86810001	86850000	2173	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
1	87180001	87220000	2182	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	87565001	87605000	2192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	88600001	88640000	2217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	89275001	89315000	2235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	90060001	90100000	2254	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0
1	90480001	90520000	2265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	91090001	91130000	2280	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1
1	91720001	91760000	2296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	92720001	92760000	2321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	93390001	93430000	2337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	93760001	93800000	2347	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0
1	94460001	94500000	2364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	94910001	94950000	2375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	95410001	95450000	2388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
1	95830001	95870000	2398	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	96300001	96340000	2410	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	96820001	96860000	2423	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1
1	97100001	97140000	2430	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0
1	97410001	97450000	2438	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	99057501	99097500	2479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	99650001	99690000	2494	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0
1	100220001	100260000	2508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	100610001	100650000	2518	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
1	101070001	101110000	2529	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	101460001	101500000	2539	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	102015001	102055000	2553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	103090001	103130000	2580	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1
1	103665001	103705000	2594	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1
1	104020001	104060000	2603	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0
1	104380001	104420000	2612	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1
1	104780001	104820000	2622	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1
1	105155001	105195000	2631	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0
1	106535001	106575000	2666	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1
1	107075001	107115000	2679	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1	107820001	107860000	2698	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	108327501	108367500	2711	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	108840001	108880000	2724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	109300001	109340000	2735	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1
1	109620001	109660000	2743	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
1	110030001	110070000	2753	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1
1	110660001	110700000	2769	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	111120001	111160000	2780	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	111600001	111640000	2793	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1
1	112010001	112050000	2803	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	112460001	112500000	2814	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
1	112750001	112790000	2821	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
1	113175001	113215000	2832	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	113670001	113710000	2844	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0
1	114420001	114460000	2863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	114815001	114855000	2873	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1
1	115637501	115677500	2894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	116305001	116345000	2910	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1
1	116650001	116690000	2919	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	117140001	117180000	2931	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	117945001	117985000	2952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	118570001	118610000	2967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	120295001	120335000	3010	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1
1	120850001	120890000	3024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	121530001	121570000	3041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	142610001	142650000	3568	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	143695001	143735000	3595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	144195001	144235000	3608	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1
1	144645001	144685000	3619	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1
1	145170001	145210000	3632	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1
1	145590001	145630000	3643	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0
1	146050001	146090000	3654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	146380001	146420000	3662	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0
1	146740001	146780000	3671	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	147545001	147585000	3691	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0
1	147960001	148000000	3702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	148375001	148415000	3712	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0
1	148740001	148780000	3721	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	149330001	149370000	3736	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1
1	149810001	149850000	3748	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	150180001	150220000	3757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1
1	151410001	151450000	3788	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
1	152050001	152090000	3804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	152480001	152520000	3815	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0
1	152880001	152920000	3824	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1	153380001	153420000	3837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	154285001	154325000	3860	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	155160001	155200000	3881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	156010001	156050000	3903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
1	156420001	156460000	3913	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1
1	156880001	156920000	3925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	157530001	157570000	3941	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1
1	158040001	158080000	3954	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
1	159240001	159280000	3984	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	159780001	159820000	3997	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1
1	160150001	160190000	4007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	160610001	160650000	4018	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1
1	161220001	161260000	4033	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1
1	161580001	161620000	4042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	161900001	161940000	4050	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0
1	162480001	162520000	4065	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1
1	162860001	162900000	4074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
